"","time","Q_BVR_m3.d"
"428",2014-03-04,11270.5895177081
"429",2014-03-05,7889.41266239565
"430",2014-03-06,5522.58886367695
"431",2014-03-07,5988.22699839431
"432",2014-03-08,4191.75889887602
"433",2014-03-09,9581.78350008804
"434",2014-03-10,6707.24845006163
"435",2014-03-11,4695.07391504314
"436",2014-03-12,3286.5517405302
"437",2014-03-13,2300.58621837114
"438",2014-03-14,1610.4103528598
"439",2014-03-15,1127.28724700186
"440",2014-03-16,5744.56677723168
"441",2014-03-17,6377.59272795712
"442",2014-03-18,4464.31490956998
"443",2014-03-19,3125.02043669899
"444",2014-03-20,2187.51430568929
"445",2014-03-21,1531.2600139825
"446",2014-03-22,1071.88200978775
"447",2014-03-23,750.317406851427
"448",2014-03-24,525.222184795999
"449",2014-03-25,5095.0042656714
"450",2014-03-26,3566.50298596998
"451",2014-03-27,2496.55209017899
"452",2014-03-28,1747.58646312529
"453",2014-03-29,9119.62209178752
"454",2014-03-30,6383.73546425127
"455",2014-03-31,4468.61482497589
"456",2014-04-01,3128.03037748312
"457",2014-04-02,2189.62126423818
"458",2014-04-03,1532.73488496673
"459",2014-04-04,1072.91441947671
"460",2014-04-05,751.040093633697
"461",2014-04-06,525.728065543588
"462",2014-04-07,17615.342089212
"463",2014-04-08,12330.7394624484
"464",2014-04-09,8631.51762371389
"465",2014-04-10,6042.06233659972
"466",2014-04-11,4229.44363561981
"467",2014-04-12,2960.61054493386
"468",2014-04-13,2072.4273814537
"469",2014-04-14,1450.69916701759
"470",2014-04-15,16163.7592742499
"471",2014-04-16,11314.6314919749
"472",2014-04-17,7920.24204438244
"473",2014-04-18,5544.16943106771
"474",2014-04-19,3880.91860174739
"475",2014-04-20,2716.64302122318
"476",2014-04-21,1901.65011485622
"477",2014-04-22,1331.15508039936
"478",2014-04-23,931.80855627955
"479",2014-04-24,652.265989395685
"480",2014-04-25,2473.18430282646
"481",2014-04-26,1731.22901197852
"482",2014-04-27,1211.86030838496
"483",2014-04-28,7565.57322509224
"484",2014-04-29,22977.8439419954
"485",2014-04-30,16084.4907593968
"486",2014-05-01,11259.1435315777
"487",2014-05-02,7881.40047210441
"488",2014-05-03,5516.98033047309
"489",2014-05-04,3861.88623133116
"490",2014-05-05,2703.32036193181
"491",2014-05-06,1892.32425335227
"492",2014-05-07,1324.62697734659
"493",2014-05-08,927.238884142612
"494",2014-05-09,649.067218899829
"495",2014-05-10,1112.045348891
"496",2014-05-11,778.431744223699
"497",2014-05-12,544.902220956589
"498",2014-05-13,381.431554669612
"499",2014-05-14,267.002088268729
"500",2014-05-15,29850.9530968797
"501",2014-05-16,20895.6671678158
"502",2014-05-17,14626.9670174711
"503",2014-05-18,10238.8769122297
"504",2014-05-19,7167.21383856082
"505",2014-05-20,5017.04968699258
"506",2014-05-21,3511.9347808948
"507",2014-05-22,2458.35434662636
"508",2014-05-23,1720.84804263845
"509",2014-05-24,1204.59362984692
"510",2014-05-25,843.215540892842
"511",2014-05-26,590.25087862499
"512",2014-05-27,413.175615037493
"513",2014-05-28,289.222930526245
"514",2014-05-29,1803.49276403182
"515",2014-05-30,1262.44493482227
"516",2014-05-31,883.711454375593
"517",2014-06-01,618.598018062915
"518",2014-06-02,433.01861264404
"519",2014-06-03,303.113028850828
"520",2014-06-04,8723.79908548109
"521",2014-06-05,6106.65935983676
"522",2014-06-06,4274.66155188573
"523",2014-06-07,2992.26308632001
"524",2014-06-08,2094.58416042401
"525",2014-06-09,1466.20891229681
"526",2014-06-10,1026.34623860776
"527",2014-06-11,9868.64371284485
"528",2014-06-12,13139.8434315555
"529",2014-06-13,9197.89040208885
"530",2014-06-14,6438.5232814622
"531",2014-06-15,4506.96629702354
"532",2014-06-16,3154.87640791648
"533",2014-06-17,2208.41348554153
"534",2014-06-18,1545.88943987907
"535",2014-06-19,1082.12260791535
"536",2014-06-20,4488.22446904096
"537",2014-06-21,3141.75712832867
"538",2014-06-22,3865.57195551768
"539",2014-06-23,2705.90036886238
"540",2014-06-24,1894.13025820366
"541",2014-06-25,1325.89118074256
"542",2014-06-26,928.123826519795
"543",2014-06-27,649.686678563857
"544",2014-06-28,454.7806749947
"545",2014-06-29,318.34647249629
"546",2014-06-30,222.842530747403
"547",2014-07-01,155.989771523182
"548",2014-07-02,109.192840066227
"549",2014-07-03,19983.7876175328
"550",2014-07-04,13988.6513322729
"551",2014-07-05,9792.05593259107
"552",2014-07-06,6854.43915281375
"553",2014-07-07,4798.10740696962
"554",2014-07-08,3358.67518487874
"555",2014-07-09,5316.78141566987
"556",2014-07-10,3721.74699096891
"557",2014-07-11,2605.22289367824
"558",2014-07-12,1823.65602557477
"559",2014-07-13,1276.55921790234
"560",2014-07-14,1388.19701546889
"561",2014-07-15,1028.34498868564
"562",2014-07-16,719.841492079946
"563",2014-07-17,503.889044455962
"564",2014-07-18,352.722331119174
"565",2014-07-19,309.229234559659
"566",2014-07-20,216.460464191761
"567",2014-07-21,151.522324934233
"568",2014-07-22,106.065627453963
"569",2014-07-23,74.2459392177742
"570",2014-07-24,7499.58012922398
