Reservoir,Site,DateTime,Depth_m,Rep,Dilution,a254_m,a350_m,S275_295,S350_400,Sr,Max_FL_Ex,Max_FL_Em,Max_FL,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,Fmax1,Fmax2,Fmax3,Fmax4,abs_Flag,fl_Flag
FCR,50,2019-05-27,0.1,1,1,11.515,4.1454,2.145607518,1.130453486,1.898006017,300,300,9.70535113,0.039218608,0.031156577,0.154484386,0.073380628,0.06248888,0.049655086,1.401159378,0.606625848,4.951573739,0.794433507,0.498593934,0.627459925,0.424588578,4.958323495,2.105247524,2.472190018,0.851571889,1.477806886,0.34198958,0.433607658,0.125122554,0.084174867,0,0
FCR,50,2019-05-27,5,1,1,9.4423,3.6848,1.947282014,1.103357321,1.7648698,300,300,14.35232831,0.035176047,0.032293701,0.174058975,0.088536038,0.068758695,0.05121661,1.486579313,0.624429485,5.797929381,0.918059437,0.469667168,0.630531804,0.364752053,5.389873783,1.965967526,2.531446756,0.776618162,1.728658685,0.381314939,0.495788406,0.131801312,0.084808567,0,0
FCR,50,2019-05-27,9,1,1,9.4423,4.1454,2.015905998,1.261085433,1.598548319,300,300,16.24218123,0.096167999,0.088598913,0.175216075,0.085206346,0.078581906,0.080999235,1.526464514,0.681708628,2.728753564,0.921293094,1.127472189,1.093824075,1.039815903,1.977632331,2.056373548,2.229725453,0.922254148,1.051940128,0.380074355,0.498918342,0.136651685,0.237355879,0,0
FCR,50,2019-05-27,9,2,1,10.5938,4.3757,2.13842422,1.293876614,1.65272654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1
FCR,50,2019-05-27,9,2,2,10.5938,4.1454,2.108971011,1.217219577,1.732613451,300,300,19.27707993,0.077986993,0.062169837,0.308353736,0.14705222,0.124940236,0.099310172,1.399547162,0.605927847,4.9742452,0.797182127,0.497596603,0.626016807,0.422773874,4.959860791,2.096899559,2.468009882,0.849631752,1.48073674,0.683584292,0.865309337,0.245441628,0.168098721,0,0
FCR,50,2019-05-27,9,2,2,10.5938,4.606,2.141035037,1.362640171,1.571240216,300,300,19.27707993,0.077986993,0.062169837,0.308353736,0.14705222,0.124940236,0.099310172,1.399547162,0.605927847,4.9742452,0.797182127,0.497596603,0.626016807,0.422773874,4.959860791,2.096899559,2.468009882,0.849631752,1.48073674,0.683584292,0.865309337,0.245441628,0.168098721,0,0
BVR,1,2019-05-30,0.1,1,1,10.1332,3.6848,2.01294179,0.921369664,2.184727659,300,300,11.3479351,0.058873054,0.060467913,0.13573641,0.061360797,0.058808036,0.054561001,1.433061026,0.658716009,2.739536766,1.027089797,1.02822534,1.108262532,0.985448624,2.244767577,2.212103121,2.308126906,0.958397528,1.124627408,0.280006534,0.366758506,0.135056783,0.178409584,0,0
BVR,20,2019-05-30,0.1,2,1,9.9029,3.4545,1.981512501,0.847432885,2.338253018,300,300,11.48236249,0.063105544,0.060369499,0.137032705,0.062190628,0.059047923,0.055985298,1.436954907,0.675478119,2.619764532,0.95664335,1.022381424,1.07830987,0.970716992,2.269899645,2.203430155,2.320703232,0.949466577,1.110838565,0.282712852,0.378920469,0.126730736,0.189688371,0,0
BVR,30,2019-05-30,0.1,1,1,11.7453,4.606,2.182201798,1.191845886,1.83094293,300,300,15.85507298,0.075301705,0.074548349,0.154090536,0.070166463,0.06560564,0.064325954,1.424666548,0.654846221,2.280357944,0.989995501,1.136310063,1.158915561,1.062449858,2.066987902,2.196071002,2.348739154,0.934999955,1.090795535,0.315646659,0.420898031,0.153308563,0.239916946,0,0
BVR,45,2019-05-30,0.1,2,1,8.0605,3.6848,1.833548791,1.144492352,1.602062947,305,304,12.82532609,0.059195044,0.061458901,0.094713812,0.038305428,0.040351891,0.046084705,1.436644139,0.695918716,1.96645275,1.038244032,1.523073645,1.333607358,1.604443678,1.541091862,2.472595096,2.347196401,1.053424884,0.831196119,0.17963838,0.243871945,0.200456672,0.168850686,0,0
BVR,50,2019-05-30,0.1,2,1,10.5938,3.6848,2.064069287,0.938506691,2.199312277,300,300,13.5553121,0.079582054,0.067623398,0.135595271,0.060645183,0.058708859,0.058388437,1.432455071,0.683459588,2.065714556,0.84973175,1.151843164,1.158164204,1.115066265,2.00515318,2.235878668,2.309621984,0.968071262,1.038650563,0.285323874,0.370223531,0.11068979,0.220782893,0,0
BVR,100,2019-05-30,0.1,1,1,11.515,5.2969,2.205828731,1.47953817,1.490890046,300,300,11.46079527,0.046253086,0.039477802,0.184490043,0.094804985,0.064580214,0.050415979,1.383363034,0.525752337,4.676239116,0.853517148,0.611298712,0.783041457,0.416410614,4.67326026,1.945995174,2.85675798,0.681190072,1.880455086,0.522839613,0.418945777,0.241313503,0.094216113,0,0
