Reservoir,DateTime,Site,Temp Sensor ID,Temp (Celcius),DO Sensor ID,DO (mg/L),DO (% Sat),Cond. Sensor ID,Sp Cond. (Micro S),Notes
BVR,2019-06-22,B100,NA,16.9,B 17J2,8.85,91.3,2 18B1,35.4,
BVR,2019-06-20,B200,NA,22.3,B 17J2,7.39,85.2,2 18B1,29.9,
BVR,9/20/2019 13:11 PM,B45,YSI,23.9,YSI,8.1,95.1,NA,NA,
BVR,9/20/2019 13:32 PM,B01,YSI,24,YSI,8.4,97.8,NA,NA,
BVR,9/20/2019 13:48 PM,B20,YSI,23.8,YSI,8.41,98,NA,NA,
BVR,9/20/2019 14:04 PM,B30,YSI,23.5,YSI,8.51,98.1,NA,NA,
BVR,2019-08-22,B45,YSI,28.2,YSI,8.2,104,YSI,27.3,
BVR,2019-08-22,B01,YSI,28.4,YSI,8.12,103.4,YSI,27.4,
BVR,2019-08-22,B20,YSI,28.6,YSI,8.08,103,YSI,27.4,
BVR,2019-08-22,B100,YSI,20.4,YSI,8.08,88,YSI,39.5,
BVR,2019-08-22,B30,YSI,28.8,YSI,8.25,106,YSI,27.4,
BVR,2019-08-22,B200,YSI,24.6,YSI,7.17,85,YSI,33.9,
BVR,8/22/2019 13:45 PM,B50,YSI,29.9,YSI,8,108.6,YSI,30,
BVR,2019-10-04,B45,YSI,24.4,YSI,9.08,,2 18B1,28.5,
BVR,2019-10-04,B01,YSI,24.3,YSI,9.26,,2 18B1,28.4,
BVR,2019-10-04,B20,YSI,24.2,YSI,9.36,,2 18B1,28.7,
BVR,2019-10-04,B100,YSI,19.8,YSI,8.54,,2 18B1,43.5,
BVR,2019-10-04,B30,YSI,25.3,YSI,9.05,,2 18B1,28.9,
BVR,2019-10-04,B200,YSI,20.8,YSI,7.87,,2 18B1,42.3,
BVR,2019-10-04,B50,YSI,25.9,YSI,9.03,,2 18B1,28.6,
