Reservoir,Site,DateTime,Depth_m,Chla_ugL,Pheo_ugL,Flag_Chla,Flag_Pheo
CCR,50,2015-07-24 12:00:00,6,1.7,1.2,0,0
CCR,50,2015-07-24 12:00:00,20,1.9,0.8,0,4
CCR,50,2015-08-07 12:00:00,0.1,1.2,-0.3,0,4
CCR,50,2015-08-07 12:00:00,6,1.7,-0.9,0,4
CCR,50,2015-08-07 12:00:00,20,1.9,0.8,0,4
CCR,50,2015-08-26 12:00:00,0.1,0.6,1.1,4,0
CCR,50,2015-08-26 12:00:00,6,1.2,1.3,0,0
CCR,50,2015-08-26 12:00:00,20,1,2.5,4,0
CCR,50,2015-09-09 12:00:00,0.1,1.2,0.1,0,4
CCR,50,2015-09-09 12:00:00,6,1.2,0.9,0,0
CCR,50,2015-09-09 12:00:00,19,2.9,2,0,0
CCR,50,2015-09-23 12:00:00,0.1,1.7,-0.1,0,4
CCR,50,2015-09-23 12:00:00,6,2.9,0.4,0,4
CCR,50,2015-09-23 12:00:00,19,1,0.4,4,4
CCR,50,2015-10-28 12:00:00,0.1,6.3,-0.5,0,4
CCR,50,2015-10-28 12:00:00,6,5.8,0.9,0,0
CCR,50,2015-10-28 12:00:00,20,0,-2.1,4,4
FCR,50,2015-08-03 12:00:00,1.6,4.8,3.5,0,0
FCR,50,2015-08-03 12:00:00,3.8,42.3,36.6,0,0
FCR,50,2015-08-03 12:00:00,5,71.1,23,0,0
FCR,50,2015-08-03 12:00:00,6.2,17.3,7.6,0,0
FCR,50,2015-08-03 12:00:00,9,9.6,1.5,0,4
FCR,50,2015-08-10 12:00:00,1.6,9.2,-1.8,0,4
FCR,50,2015-08-10 12:00:00,3.8,51.9,22.8,0,0
FCR,50,2015-08-10 12:00:00,5,70.6,15.5,0,0
FCR,50,2015-08-10 12:00:00,6.2,15.9,8,0,0
FCR,50,2015-08-10 12:00:00,9,3.8,0.3,0,4
FCR,50,2015-08-17 12:00:00,1.6,10.4,2.9,0,0
FCR,50,2015-08-17 12:00:00,3.8,26.5,20,0,0
FCR,50,2015-08-17 12:00:00,5,33.6,16.9,0,0
FCR,50,2015-08-17 12:00:00,6.2,24,11.3,0,0
FCR,50,2015-08-17 12:00:00,9,3.5,2.4,0,0
